ABJ,Abidjan,Abidjan,Ivory Coast,CI,5.2613,-3.9263
ABQ,Albuquerque,Albuquerque,NM,US,35.0405,-106.6094
ABV,Abuja,Abuja,,NG,9.0066,7.263
ABZ,Aberdeen,Aberdeen,United Kingdom,GB,57.2041,-2.2002
ACC,Accra,Accra,Ghana,GH,5.6052,-0.1666
ACE,Lanzarote,Lanzarote,Spain,ES,28.9455,-13.6052
ACK,Nantucket,Nantucket,MA,US,41.253,-70.0602
ADB,Izmir Adnan Menderes Apt,Izmir,Turkey,TR,38.2924,27.1569
ADD,Addis Ababa,Addis Ababa,Ethiopia,ET,8.9777,38.7994
ADL,Adelaide Airport,Adelaide,Australia,AU,-34.9449,138.5305
AEP,Buenos Aires Aeroparque J. Newbery,Buenos Aires - Jorge Newbery,Argentina,AR,-34.5588,-58.4163
AER,Sochi,Sochi,Russia,RU,43.45,39.9566
AGA,Agadir,Agadir,,MA,30.3249,-9.413
AGP,Malaga,Malaga,,ES,36.6749,-4.4991
AJA,Ajaccio,Ajaccio - Corsica,France,FR,41.9238,8.8025
AKL,Auckland International Apt,Auckland,New Zealand,NZ,-37.0097,174.7916
ALB,Albany International Airport,Albany,NY,US,42.7483,-73.8016
ALC,Alicante,Alicante,,ES,38.2822,-0.558
ALG,Algiers,Algiers,,DZ,36.6911,3.2152
AMD,Ahmedabad,Ahmedabad,India,IN,23.0772,72.6347
AMM,Amman Queen Alia International Apt,Amman,Jordan,JO,31.7224,35.9933
AMS,Amsterdam,Amsterdam - Schiphol,,NL,52.308,4.7641
ANC,Anchorage International Apt,Anchorage,AK,US,61.1744,-149.9963
ANF,Antofagasta,Antofagasta - Cerro Moreno,,CL,-23.4444,-70.4449
ANU,Antigua,Antigua,Antigua and Barbuda,AG,17.1366,-61.7927
AOI,Ancona,Ancona,,IT,43.6166,13.3602
APL,Nampula,Nampula,Mozambique,MZ,-15.1055,39.2816
AQP,Arequipa,Arequipa,Peru,PE,-16.3411,-71.583
ARI,Arica,Arica - Chacalluta,,CL,-18.3486,-70.3386
ARN,Stockholm Arlanda Apt,Stockholm,,SE,59.6519,17.9186
ART,Watertown,Watertown,NY,US,43.9919,-76.0216
ATH,Athens,Athens,Greece,GR,37.9363,23.9444
ATL,Atlanta Hartsfield-Jackson Intl Apt,Atlanta Hartsfield-Jackson Intl Apt,GA,US,33.6366,-84.428
AUA,Aruba,Aruba,,AW,12.5013,-70.0152
AUG,Augusta,Augusta,ME,US,44.3166,-69.8
AUH,Abu Dhabi International Apt,Abu Dhabi,,AE,24.433,54.6511
AUS,Austin-Bergstrom International Apt,Austin,TX,US,30.1944,-97.6699
AXA,Anguilla,Anguilla - Wall Blake,,AI,18.2047,-63.055
AYT,Antalya,Antalya,,TR,36.8986,30.8005
AZO,Kalamazoo,Kalamazoo - Battle Creek,,US,42.2349,-85.5519
AZS,Samana,Samana,Dominican Republic,DO,19.1986,-69.4297
BAH,Bahrain,Bahrain,,BH,26.2708,50.6336
BBA,Balmaceda,Balmaceda,Chile,CL,-45.9161,-71.6894
BBK,Kasane,Kasane,Botswana,BW,-17.8327,25.1625
BCN,Barcelona Apt,Barcelona,,ES,41.2969,2.0783
BDA,Bermuda L.F Wade International,Bermuda,,BM,32.3641,-64.6786
BDL,Hartford Bradley International Apt,Hartford Springfield,CT,US,41.9388,-72.6833
BEG,Belgrade,Belgrad,,RS,44.8183,20.3091
BEW,Beira,Beira,Mozambique,MZ,-19.7963,34.9075
BEY,Beirut,Beirut,Lebanon,LB,33.8208,35.4883
BFN,Bloemfontein,Bloemfontein,South Africa,ZA,-29.0927,26.3025
BGI,Barbados,Bridgetown,Barbados,BB,13.0747,-59.4924
BGO,Bergen,Bergen,Norway,NO,60.2933,5.218
BGW,Baghdad,Baghdad,Iraq,IQ,33.2625,44.2344
BHB,Bar Harbor,Bar Harbor,ME,US,44.45,-68.3666
BHD,Belfast George Best City Apt,Belfast,UK,GB,54.618,-5.8724
BHX,Birmingham Airport,Birmingham,United Kingdom,GB,52.4536,-1.7477
BIA,Bastia,Bastia,,FR,42.55,9.4847
BID,Block Island,Block Island State Airport,,US,41.1694,-71.5833
BIM,Bimini International Apt,Bimini,Bahamas,BS,25.7,-79.2647
BIO,Bilbao,Bilbao,,ES,43.3011,-2.9105
BJL,Banjul,Banjul,Gambia,GM,13.338,-16.6522
BJM,Bujumbura,Bujumbura,Burundi,BI,-3.3238,29.3186
BJV,Bodrum Milas Airport,Bodrum,Turkey,TR,37.2505,27.6644
BKK,Bangkok Suvarnabhumi International Apt,Bangkok,,TH,13.9144,100.6055
BLK,Blackpool,Blackpool,United Kingdom,GB,53.7713,-3.0283
BLL,Billund,Billund,Denmark,DK,55.7402,9.1516
BLQ,Bologna,Bologna,Italy,IT,44.5308,11.2969
BLR,Bengaluru,Bangalore,India,IN,13.1988,77.7055
BLZ,Blantyre,Blantyre,Malawi,MW,-15.6791,34.9738
BNA,Nashville,Nashville,TN,US,36.1244,-86.6783
BNE,Brisbane,Brisbane,Australia,AU,-27.3841,153.1174
BOD,Bordeaux Merignac Apt,Bordeaux,France,FR,44.8286,-0.7152
BOG,Bogota,Bogota,Colombia,CO,4.7016,-74.1469
BOH,Bournemouth,Bournemouth,United Kingdom,GB,50.7799,-1.8424
BOJ,Burgas,Burgas,Bulgaria,BG,42.5697,27.5152
BOM,Mumbai,Mumbai,India,IN,19.0886,72.868
BOS,Boston Logan International Apt,Boston,MA,US,42.3644,-71.0052
BQN,Aguadilla,Aguadilla,PR,PR,18.4949,-67.1294
BRE,Bremen,Bremen,,DE,53.0474,8.7866
BRI,Bari,Bari,,IT,41.138,16.765
BRS,Bristol,Bristol,United Kingdom,GB,51.3824,-2.7188
BRU,Brussels Airport,Brussels,,BE,50.9013,4.4844
BSL,Basel,Basel/Mulhouse,,CH,47.5833,7.5333
BSR,Basrah,Basra,Iraq,IQ,30.5491,47.6622
BTV,Burlington,Burlington,VT,US,44.4719,-73.1533
BUD,Budapest,Budapest,,HU,47.4369,19.2555
BUF,Buffalo,Buffalo,NY,US,42.9405,-78.7322
BUQ,Bulawayo,Bulawayo,Zimbabwe,ZW,-20.0174,28.6177
BUR,Burbank,Burbank,CA,US,34.2005,-118.3586
BWI,Baltimore Washington International Apt,Baltimore,MD,US,39.1752,-76.6683
CAG,Cagliari,Cagliari,,IT,39.2472,9.0561
CAI,Cairo,Cairo,Egypt,EG,30.1219,31.4055
CAN,Guangzhou,Guangzhou,China,CN,23.3924,113.2988
CCJ,Kozhikode,Kozhikode,India,IN,11.1369,75.9552
CCP,Concepcion,Concepcion - Carriel Sur,Chile,CL,-36.7727,-73.063
CCU,Kolkata,Kolkata,India,IN,22.6547,88.4466
